B1_Cpu,B1_Memory,B1_ResponseTime,B1_Throughput,B2_Cpu,B2_Memory,B2_ResponseTime,B2_Throughput,B3_Cpu,B3_Memory,B3_ResponseTime,B3_Throughput,B4_Cpu,B4_Memory,B4_ResponseTime,B4_Throughput,B5_Cpu,B5_Memory,B5_ResponseTime,B5_Throughput
0,0,0,0,100.1392339,35545088,9.084757,0.110074,0,0,0,0,0,0,0,0,0,0,0,0
99.959445,34447360,66.941517,0.014938,100.136255,35545088,7.769529,0.128708,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.135985,35545088,7.929725,0.126108,99.91692,34856960,56.964242,0.017555,0,0,0,0,0,0,0,0
99.91375,34570240,68.121407,0.01468,100.067699,35545088,8.922343,0.112078,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.066898,35545088,9.353787,0.106909,99.916,34869248,57.875409,0.017278,0,0,0,0,0,0,0,0
0,0,0,0,100.075236,35549184,10.264991,0.097418,0,0,0,0,100.062661,35078144,32.8747,0.030419,99.998134,33570816,10.577308,0.094542
0,0,0,0,100.068625,35549184,9.128432,0.109548,0,0,0,0,100.062193,35078144,33.891434,0.029506,0,0,0,0
0,0,0,0,100.0652111,35508224,9.12485,0.109591,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.030989,35520512,8.29253,0.12059,99.912268,34869248,57.060646,0.017525,0,0,0,0,0,0,0,0
99.920445,34582528,68.53071,0.014592,100.031147,35520512,8.954683,0.111673,0,0,0,0,0,0,0,0,0,0,0,0
